img;act_class
IMG_9978070570836.jpeg;fire screen, fireguard, shopping cart, buckle, sundial, bannister, banister, balustrade, balusters, handrail
Screenshot_2016-07-20-11-33-43.png;bubble, great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias, water bottle, Shih-Tzu, ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
2016-07-08 20.22.19.jpg;radiator, studio couch, day bed, space heater, photocopier, window shade
2016-06-24 17.46.44.jpg;tarantula, dhole, Cuon alpinus, kit fox, Vulpes macrotis, Irish terrier, cockroach, roach
2016-05-29 22.47.55.jpg;Windsor tie, seat belt, seatbelt, suit, suit of clothes, dumbbell, Band Aid
IMG_20141206_143527909.jpg;seashore, coast, seacoast, sea-coast, container ship, containership, container vessel, jigsaw puzzle, cliff, drop, drop-off, promontory, headland, head, foreland
IMG_20151017_095036264.jpg;medicine chest, medicine cabinet, shower curtain, refrigerator, icebox, window shade, studio couch, day bed
andricgrad.jpg;vault, palace, monastery, mosque, dome
2016-07-09 18.58.30.jpg;forklift, amphibian, amphibious vehicle, snowplow, snowplough, lumbermill, sawmill, jeep, landrover
2016-07-13 17.38.49.jpg;park bench, lakeside, lakeshore, maze, labyrinth, apiary, bee house, hay
Fotos 751.jpg;shower cap, vestment, wig, throne, mask
Screenshot_2016-07-20-11-25-17-1.png;coral reef, wool, woolen, woollen, stole, sea anemone, anemone, starfish, sea star
2015-11-01 00.31.44.jpg;comic book, jigsaw puzzle, packet, handkerchief, hankie, hanky, hankey, envelope
2015-03-07 18.50.44.jpg;radiator, toilet tissue, toilet paper, bathroom tissue, dumbbell, hammerhead, hammerhead shark, Band Aid
2015-03-07 18.50.15.jpg;hammerhead, hammerhead shark, stingray, tiger shark, Galeocerdo cuvieri, electric ray, crampfish, numbfish, torpedo, Band Aid
IMG_20150108_152018643_HDR.jpg;Rottweiler, Greater Swiss Mountain dog, Airedale, Airedale terrier, miniature pinscher, EntleBucher
2015-02-27 15.42.59.jpg;soap dispenser, hourglass, medicine chest, medicine cabinet, switch, electric switch, electrical switch, shower curtain
20141130_195703.jpg;football helmet, projector, water bottle, breastplate, aegis, egis, electric fan, blower
bosna1.jpg;mailbox, letter box, barn, boathouse, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, birdhouse
IMG_332679765605679.jpeg;bonnet, poke bonnet, shower cap, megalith, megalithic structure, trilobite, ski mask
2016-07-13 19.17.05.jpg;bassinet, tub, vat, mosquito net, hippopotamus, hippo, river horse, Hippopotamus amphibius, Angora, Angora rabbit
IMG_9776.jpg;suspension bridge, viaduct, valley, vale, pole, cliff, drop, drop-off
Screenshot_2016-07-20-11-26-29-1.png;Eskimo dog, husky, Egyptian cat, malamute, malemute, Alaskan malamute, Siberian husky, Norwegian elkhound, elkhound
IMG_20150722_182131.jpg;lumbermill, sawmill, garbage truck, dustcart, oil filter, forklift, grocery store, grocery, food market, market
kyRrpwuXm9I.jpg;Band Aid, sea cucumber, holothurian, starfish, sea star, conch, banded gecko
IMG_20141117_175301327.jpg;obelisk, pier, monastery, suspension bridge, mosque
IMG_20150108_124638428.jpg;alp, bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, valley, vale, bison, ram, tup
P_Monterosso_seaside.jpg;envelope, binder, ring-binder, cleaver, meat cleaver, chopper, nail, dishwasher, dish washer, dishwashing machine
eileen_05.jpg;great grey owl, great gray owl, Strix nebulosa, ptarmigan, vulture, kite, white stork, Ciconia ciconia
IMG_20160628_132401.jpg;hyena, hyaena, wood rabbit, cottontail, cottontail rabbit, leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea, tabby, tabby cat, wallaby, brush kangaroo
IMG_20160601_143735105.jpg;palace, lakeside, lakeshore, castle, cliff, drop, drop-off, monastery
20160718_202645.jpg;goose, crane, American egret, great white heron, Egretta albus, lakeside, lakeshore, pelican
521428_10151254621992834_1633641140_n.jpg;panpipe, pandean pipe, syrinx, flute, transverse flute, volleyball, trombone, hair spray
display-dummy-915135_1280-800x559.jpg;mitten, mask, sock, water bottle, vase
IMG_20141118_123454075.jpg;cliff, drop, drop-off, megalith, megalithic structure, promontory, headland, head, foreland, cannon, thatch, thatched roof
2016-07-09 15.47.34.jpg;palace, prison, prison house, monastery, library, church, church building
IMG_20160618_130033.jpg;tabby, tabby cat, mask, Egyptian cat, tiger cat, snow leopard, ounce, Panthera uncia
IMG_20160527_153932696.jpg;hand blower, blow dryer, blow drier, hair dryer, hair drier, paper towel, carton, toilet tissue, toilet paper, bathroom tissue, printer
2015-08-17 19.08.37.jpg;poncho, envelope, gown, lampshade, lamp shade, stole
Screenshot_2016-07-20-11-26-06-1.png;English springer, English springer spaniel, Bernese mountain dog, Border collie, Old English sheepdog, bobtail, Greater Swiss Mountain dog
2015-10-31 16.49.47.jpg;grocery store, grocery, food market, market, tobacco shop, tobacconist shop, tobacconist, bookshop, bookstore, bookstall, shoe shop, shoe-shop, shoe store, comic book
IMG_20160711_220813.jpg;Egyptian cat, tabby, tabby cat, tiger cat, lynx, catamount, bow tie, bow-tie, bowtie
index.jpe;mountain bike, all-terrain bike, off-roader, tricycle, trike, velocipede, moped, bicycle-built-for-two, tandem bicycle, tandem, tractor
2016-06-24 17.46.56.jpg;cliff dwelling, washbasin, handbasin, washbowl, lavabo, wash-hand basin, table lamp, pedestal, plinth, footstall, megalith, megalithic structure
2016-07-09 15.27.18.jpg;palace, crate, prison, prison house, monastery, library
Izumi Miyazaki 9.jpg;lipstick, lip rouge, ice lolly, lolly, lollipop, popsicle, bubble, diaper, nappy, napkin, tub, vat
IMG_20150628_093848979_HDR.jpg;patio, terrace, mobile home, manufactured home, park bench, picket fence, paling, chainlink fence
IMG_20160705_221052.jpg;Egyptian cat, tabby, tabby cat, tiger cat, lynx, catamount, wood rabbit, cottontail, cottontail rabbit
IMG_20150703_121108530.jpg;triumphal arch, palace, patio, terrace, fountain, planetarium
Screenshot_2016-07-20-11-27-09-1.png;gar, garfish, garpike, billfish, Lepisosteus osseus, sea cucumber, holothurian, tench, Tinca tinca, cucumber, cuke, axolotl, mud puppy, Ambystoma mexicanum
IMG_20141206_144523810.jpg;freight car, container ship, containership, container vessel, castle, suspension bridge, pier
IMG_20160623_140859.jpg;wool, woolen, woollen, stole, mitten, poncho, handkerchief, hankie, hanky, hankey
