img;act_class
IMG_5151.JPG;ping-pong ball, cello, violoncello, acoustic guitar, banjo, maraca
IMG_3113.jpg;jean, blue jean, denim, cowboy boot, military uniform, fur coat, breastplate, aegis, egis
IMG_3399.jpg;ocarina, sweet potato, kimono, academic gown, academic robe, judge's robe, vestment, maypole
IMG_9978070570836.jpeg;fire screen, fireguard, shopping cart, bannister, banister, balustrade, balusters, handrail, buckle, sundial
addd.jpg;miniskirt, mini, ice lolly, lolly, lollipop, popsicle, sarong, swing, cowboy boot
Screenshot_2016-07-20-11-33-43.png;ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus, gibbon, Hylobates lar, llama, bubble, great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
IMG_5003.jpg;zucchini, courgette, wig, mortarboard, stole, laptop, laptop computer
2016-07-08 20.22.19.jpg;space heater, radiator, photocopier, studio couch, day bed, window shade
IMG_3830.jpg;Indian elephant, Elephas maximus, tusker, African elephant, Loxodonta africana, guillotine, military uniform
IMG_3138.jpg;oboe, hautboy, hautbois, kimono, violin, fiddle, ocarina, sweet potato, cello, violoncello
IMG_3322.jpg;military uniform, assault rifle, assault gun, steel drum, drum, membranophone, tympan, banjo
IMG_3644.jpg;Indian elephant, Elephas maximus, Arabian camel, dromedary, Camelus dromedarius, garbage truck, dustcart, African elephant, Loxodonta africana, yurt
ad.jpg;torch, volleyball, bucket, pail, soccer ball, ear, spike, capitulum
IMG_4859.jpg;altar, throne, vestment, prison, prison house, prayer rug, prayer mat
IMG_3663.jpg;steel drum, marimba, xylophone, cello, violoncello, drum, membranophone, tympan, ocarina, sweet potato
IMG_4373.jpg;bikini, two-piece, swimming trunks, bathing trunks, sandbar, sand bar, seashore, coast, seacoast, sea-coast, sunscreen, sunblock, sun blocker
IMG_5205.JPG;crossword puzzle, crossword, notebook, notebook computer, photocopier, desk, hair spray
2016-06-24 17.46.44.jpg;tarantula, dhole, Cuon alpinus, cockroach, roach, kit fox, Vulpes macrotis, window screen
IMG_5141.JPG;steel drum, barbershop, shoe shop, shoe-shop, shoe store, drum, membranophone, tympan, cello, violoncello
IMG_3859.jpg;feather boa, boa, umbrella, conch, fur coat, butcher shop, meat market
IMG_4581.jpg;restaurant, eating house, eating place, eatery, patio, terrace, throne, barbershop, guillotine
IMG_3807.jpg;triumphal arch, vestment, mosque, palace, prison, prison house
2016-05-29 22.47.55.jpg;seat belt, seatbelt, Windsor tie, dumbbell, suit, suit of clothes, syringe
IMG_4641.jpg;four-poster, vestment, butcher shop, meat market, altar, maypole
IMG_4039.jpg;miniskirt, mini, barbell, torch, running shoe, jean, blue jean, denim
IMG_20141206_143527909.jpg;seashore, coast, seacoast, sea-coast, container ship, containership, container vessel, alp, cliff, drop, drop-off, castle
IMG_5197.JPG;safe, home theater, home theatre, pay-phone, pay-station, sliding door, wardrobe, closet, press
IMG_3152.jpg;potter's wheel, gong, tam-tam, military uniform, banjo, barbershop
IMG_4334.jpg;sandbar, sand bar, Arabian camel, dromedary, Camelus dromedarius, swimming trunks, bathing trunks, sarong, Airedale, Airedale terrier
IMG_20151017_095036264.jpg;medicine chest, medicine cabinet, shower curtain, refrigerator, icebox, window shade, studio couch, day bed
IMG_3172.jpg;stage, unicycle, monocycle, motor scooter, scooter, cello, violoncello, shoe shop, shoe-shop, shoe store
IMG_3868.jpg;sarong, marimba, xylophone, bow, steel drum, ice lolly, lolly, lollipop, popsicle
andricgrad.jpg;vault, palace, monastery, mosque, cliff dwelling
2016-07-09 18.58.30.jpg;amphibian, amphibious vehicle, forklift, snowplow, snowplough, jeep, landrover, lumbermill, sawmill
2016-07-13 17.38.49.jpg;park bench, lakeside, lakeshore, maze, labyrinth, water buffalo, water ox, Asiatic buffalo, Bubalus bubalis, apiary, bee house
IMG_3230.jpg;vestment, oboe, hautboy, hautbois, accordion, piano accordion, squeeze box, restaurant, eating house, eating place, eatery, steel drum
IMG_4568.jpg;restaurant, eating house, eating place, eatery, throne, altar, butcher shop, meat market, cinema, movie theater, movie theatre, movie house, picture palace
IMG_4685.jpg;dome, vault, coil, spiral, volute, whorl, helix, radio telescope, radio reflector, maze, labyrinth
dfaadf.jpeg;fur coat, poncho, cloak, cardigan, stole
IMG_4677.jpg;dome, manhole cover, vault, coil, spiral, volute, whorl, helix, maze, labyrinth
IMG_5044.JPG;plunger, plumber's helper, rifle, flute, transverse flute, ping-pong ball, notebook, notebook computer
IMG_4906.jpg;horizontal bar, high bar, volleyball, shovel, plunger, plumber's helper, parallel bars, bars
IMG_5106.JPG;racket, racquet, vacuum, vacuum cleaner, pay-phone, pay-station, unicycle, monocycle, torch
IMG_3784.jpg;sarong, harmonica, mouth organ, harp, mouth harp, ice lolly, lolly, lollipop, popsicle, kimono, flute, transverse flute
qerfr.jpeg;hook, claw, corkscrew, bottle screw, can opener, tin opener, buckle, stethoscope
IMG_4529.jpg;palace, prison, prison house, monastery, triumphal arch, horse cart, horse-cart
IMG_3249.jpg;oboe, hautboy, hautbois, flute, transverse flute, violin, fiddle, banjo, marimba, xylophone
IMG_3806.jpg;triumphal arch, palace, bubble, stupa, tope, maypole
IMG_3175.jpg;military uniform, oboe, hautboy, hautbois, groom, bridegroom, flute, transverse flute, cornet, horn, trumpet, trump
IMG_5153.JPG;restaurant, eating house, eating place, eatery, steel drum, grocery store, grocery, food market, market, library, marimba, xylophone
Fotos 751.jpg;throne, vestment, wig, sombrero, mask
IMG_4470.jpg;lab coat, laboratory coat, restaurant, eating house, eating place, eatery, monitor, desktop computer, stage
IMG_3142.jpg;binder, ring-binder, freight car, television, television system, laptop, laptop computer, wall clock
IMG_5384.JPG;library, barbershop, cello, violoncello, restaurant, eating house, eating place, eatery, steel drum
Screenshot_2016-07-20-11-25-17-1.png;coral reef, starfish, sea star, sea anemone, anemone, wool, woolen, woollen, anemone fish
IMG_4666.jpg;padlock, four-poster, knot, teddy, teddy bear, chain
IMG_3084.jpg;oboe, hautboy, hautbois, trombone, French horn, horn, bassoon, harmonica, mouth organ, harp, mouth harp
IMG_5415.JPG;steel drum, stage, electric guitar, laptop, laptop computer, oboe, hautboy, hautbois
IMG_4394.jpg;sarong, soccer ball, cowboy hat, ten-gallon hat, swimming trunks, bathing trunks, maillot, tank suit
IMG_3491.jpg;fountain, ocarina, sweet potato, lab coat, laboratory coat, cornet, horn, trumpet, trump, trombone
2015-11-01 00.31.44.jpg;comic book, packet, jigsaw puzzle, laptop, laptop computer, binder, ring-binder
IMG_4973.jpg;wine bottle, beer bottle, cello, violoncello, pop bottle, soda bottle, library
IMG_4931.jpg;accordion, piano accordion, squeeze box, violin, fiddle, tricycle, trike, velocipede, crutch, trombone
IMG_5071.JPG;microphone, mike, projector, French horn, horn, spotlight, spot, crutch
ddaa.jpg;balance beam, beam, magpie, water ouzel, dipper, rhinoceros beetle, corkscrew, bottle screw
IMG_5422.JPG;stage, steel drum, electric guitar, laptop, laptop computer, bassoon
IMG_5203.JPG;vacuum, vacuum cleaner, violin, fiddle, notebook, notebook computer, bow, cello, violoncello
IMG_4743.jpg;bubble, motor scooter, scooter, flute, transverse flute, cello, violoncello, oboe, hautboy, hautbois
IMG_5327.JPG;swab, swob, mop, barbell, punching bag, punch bag, punching ball, punchball, plunger, plumber's helper, pool table, billiard table, snooker table
IMG_3818.jpg;triumphal arch, palace, church, church building, monastery, altar
2015-03-07 18.50.44.jpg;dumbbell, toilet tissue, toilet paper, bathroom tissue, Band Aid, padlock, switch, electric switch, electrical switch
2015-03-07 18.50.15.jpg;Band Aid, syringe, seat belt, seatbelt, hourglass, bow tie, bow-tie, bowtie
IMG_3183.jpg;barbershop, shopping cart, bow tie, bow-tie, bowtie, banjo, cowboy hat, ten-gallon hat
IMG_4433.jpg;mortarboard, bathing cap, swimming cap, stage, academic gown, academic robe, judge's robe, football helmet
IMG_3799.jpg;umbrella, crutch, prison, prison house, bubble, stretcher
IMG_5007.jpg;desktop computer, marimba, xylophone, laptop, laptop computer, desk, steel drum
IMG_4565.jpg;throne, bannister, banister, balustrade, balusters, handrail, altar, church, church building, organ, pipe organ
ddafd.jpg;sax, saxophone, mountain bike, all-terrain bike, off-roader, fountain, bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, assault rifle, assault gun
IMG_5235.JPG;home theater, home theatre, cinema, movie theater, movie theatre, movie house, picture palace, desktop computer, monitor, television, television system
IMG_4960.jpg;patio, terrace, sliding door, prison, prison house, cinema, movie theater, movie theatre, movie house, picture palace, forklift
IMG_20150108_152018643_HDR.jpg;miniature pinscher, Airedale, Airedale terrier, EntleBucher, Rottweiler, Bernese mountain dog
IMG_3353.jpg;dumbbell, barbell, crutch, rocking chair, rocker, sliding door
IMG_4159.jpg;fur coat, poncho, throne, trench coat, kimono
2015-02-27 15.42.59.jpg;toilet tissue, toilet paper, bathroom tissue, toilet seat, switch, electric switch, electrical switch, hand blower, blow dryer, blow drier, hair dryer, hair drier, soap dispenser
IMG_4702.jpg;barrow, garden cart, lawn cart, wheelbarrow, brass, memorial tablet, plaque, barrel, cask, buckle, Loafer
IMG_5310.JPG;tricycle, trike, velocipede, unicycle, monocycle, sax, saxophone, punching bag, punch bag, punching ball, punchball, stage
adf.jpeg;gasmask, respirator, gas helmet, radiator, trench coat, oboe, hautboy, hautbois, suit, suit of clothes
IMG_5055.JPG;restaurant, eating house, eating place, eatery, dining table, board, desk, desktop computer, steel drum
IMG_5421.JPG;traffic light, traffic signal, stoplight, bubble, projector, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system, punching bag, punch bag, punching ball, punchball
IMG_4946.jpg;palace, monastery, mosque, triumphal arch, dome
IMG_5031.JPG;sewing machine, projector, power drill, revolver, six-gun, six-shooter, printer
